name;year;country;genre;rating;count_rating
Молодой Морс;2012–;Великобритания;драма, криминал;8.2;12 103
Пацаны;2019–;США;фантастика, боевик;8.2;106 496
Палач;2014;Россия;детектив, криминал;8.2;23 746
Бандитский Петербург 2: Адвокат;2000;Россия;драма, мелодрама;8.2;48 586
Ванпанчмен;2015–2019;Япония;аниме, мультфильм;8.2;59 647
Метод;2015–2021;Россия;триллер, криминал;8.2;144 139
Код Гиас: Восставший Лелуш;2006–2012;Япония;аниме, мультфильм;8.2;30 664
Детство Шелдона;2017–;США;комедия;8.2;80 889
Миллиарды;2016–;США;драма;8.2;58 216
Кандис Ренуар;2013–;Франция;драма, комедия;8.2;8 693
Грань;2008–2013;США, Канада;фантастика, триллер;8.2;69 457
Твин Пикс;1990–1991;США;триллер, драма;8.2;106 960
Невероятные приключения ДжоДжо;2012–;Япония;аниме, мультфильм;8.2;22 586
Древние;2013–2018;США;фэнтези, драма;8.2;66 737
Вся правда о медведях;2015–2019;США;мультфильм, фэнтези;8.2;19 041
Охотник х Охотник;2011–2014;Япония;аниме, мультфильм;8.2;7 044
Хороший доктор;2017–;США;драма;8.2;131 057
Блудливая Калифорния;2007–2014;США;драма, комедия;8.2;101 108
Мейр из Исттауна;2021–2021;США;драма, криминал;8.2;39 650
Идиот;2003;Россия;драма;8.2;26 760
Бригада;2002;Россия;драма, криминал;8.1;354 587
Дрянь;2016–2019;Великобритания;драма, комедия;8.1;35 803
Побег;2005–2017;США, Великобритания;боевик, триллер;8.1;194 620
Волчица и пряности;2008–2009;Япония;аниме, мультфильм;8.1;17 147
Чем мы заняты в тени;2016–;США;комедия, ужасы;8.1;42 670
Книжный магазин Блэка;2000–2004;Великобритания;комедия;8.1;37 898
Уэйн;2019;США;боевик, комедия;8.1;62 104
Мегрэ;2016–2017;Великобритания;детектив, драма;8.1;12 176
Тихий океан;2010–2010;США, Австралия;военный, драма;8.1;18 256
Нарко;2015–2017;США, Колумбия;криминал, драма;8.1;58 291
Непобедимый;2021–;США;мультфильм, фантастика;8.1;16 993
Это – Англия. Год 1990;2015;Великобритания;драма, криминал;8.1;7 888
Американская семейка;2009–2020;США;драма, мелодрама;8.1;24 192
Мандалорец;2019–;США;фантастика, боевик;8.1;157 481
Фарго;2014–;США;триллер, драма;8.1;132 687
Грозовые ворота;2006;Россия;драма, военный;8.1;82 417
Обратная сторона Земли;2020–2021;США;мультфильм, фантастика;8.1;45 494
100 тысяч минут вместе;2020–;Украина;комедия;8.1;23 484
Рассказ служанки;2017–;США;фантастика, триллер;8.1;112 124
Удивительная миссис Мейзел;2017–;США;драма, комедия;8.1;30 223
С большой буквы;2017–2021;США;драма, комедия;8.1;13 002
Папик;2019–;Украина;комедия, мелодрама;8.1;106 347
Блудный сын;2019–2021;США;триллер, драма;8.1;33 955
Острые козырьки;2013–;Великобритания;драма, криминал;8.1;227 406
Харли Квинн;2019–;США;мультфильм, фэнтези;8.1;93 400
Святой Майк;2018–;Германия;комедия;8.1;11 607
Форс-мажоры;2011–2019;США;драма, комедия;8.1;81 447
Война и мир;2016;Великобритания;драма, мелодрама;8.1;44 883
Гриффины;1999–;США;мультфильм, комедия;8.1;129 377
Очень странные дела;2016–;США;ужасы, фантастика;8.1;283 029
Бруклин 9-9;2013–2021;США;комедия, криминал;8.1;50 507
Чудотворцы;2019–;США;комедия, фэнтези;8.1;149 685
Касл;2009–2016;США;драма, мелодрама;8.1;85 561
Больница Никербокер;2014–2015;США;драма, история;8.1;33 034
Д`Артаньян и три мушкетера;1979;СССР;мюзикл, приключения;8.1;76 300
Евангелион;1995–1996;Япония;аниме, мультфильм;8.1;34 970
Тюдоры;2007–2010;Ирландия, Канада;драма, мелодрама;8.1;38 454
Моб Психо 100;2016–2019;Япония;аниме, мультфильм;8.1;13 420
Правда о деле Гарри Квеберта;2018–2018;США;драма, криминал;8.1;26 734
Стальной алхимик;2003–2004;Япония;аниме, мультфильм;8.1;25 386
Что знает Оливия;2014;США;драма;8.1;20 724
Молодой Папа;2016–2017;Италия, Франция;драма;8.1;118 308
Гоблин;2016–2017;Корея Южная;фэнтези, мелодрама;8.1;24 043
Засланец из космоса;2021–;США;фантастика, драма;8.1;166 488
Потерянная комната;2006;США;фантастика, детектив;8.1;48 198
Менталист;2008–2015;США;триллер, детектив;8.1;88 527
Секретные материалы;1993–2018;США, Канада;фантастика, детектив;8.0;119 701
Охотник за разумом;2017–2019;США;триллер, драма;8.0;54 907
Шиттс Крик;2015–2020;Канада, США;комедия;8.0;13 308
Сага о Винланде;2019–;Япония;аниме, мультфильм;8.0;7 135
Виктория;2016–2019;Великобритания;драма, биография;8.0;11 061
Врата Штейна;2011;Япония;аниме, мультфильм;8.0;21 280
Мыслить как преступник;2005–2020;США, Канада;триллер, драма;8.0;41 463
Сексуальное просвещение;2019–;Великобритания;драма, комедия;8.0;132 786
Отверженные;2018–2018;Великобритания, США;драма, мелодрама;8.0;13 146
Наруто;2002–2007;Япония;аниме, мультфильм;8.0;51 811
Звездные врата: Атлантида;2004–2009;Канада, США;фантастика, боевик;8.0;18 787
Преступление;2016–2017;Россия;драма, детектив;8.0;30 901
Американская история ужасов;2011–2022;США;ужасы, триллер;8.0;139 876
По законам военного времени;2015–;Россия, Украина;военный, драма;8.0;46 715
Это – Англия. Год 1986;2010;Великобритания;драма, криминал;8.0;12 145
Большая маленькая ложь;2017–2019;США;детектив, драма;8.0;97 387
Шакал;2016;Россия;детектив;8.0;16 407
Декстер;2006–;США;триллер, драма;8.0;162 937
Эхо террора;2014;Япония;аниме, мультфильм;8.0;23 250
Реинкарнация безработного;2021–;Япония;аниме, мультфильм;8.0;6 725
Это грех;2021–2021;Великобритания;драма, комедия;8.0;6 102
Мажор;2014–2018;Россия;драма, криминал;8.0;186 234
Отбросы;2009–2013;Великобритания;фантастика, драма;8.0;172 517
Банши;2013–2016;США;боевик, триллер;8.0;20 908
Ходячие мертвецы;2010–2022;США;ужасы, триллер;8.0;323 828
